"Journal","Subfield","Publisher","Publisher Type","Business Model","APC (€)"
"Acarologia","Ecology & Evolution - Zoology","Institut National de Recherche pour l'Agriculture l'Alimentation et l'Environnement","Non-profit","OA diamond","0"
"Access Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","Microbiology Society","Non-profit","OA","908"
"ACS Chemical Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Physiological Society","Non-profit","Hybrid","2669"
"ACS Chemical Neuroscience","Molecular & Cellular Biology - Neuroscience and Neurobiology","American Physiological Society","Non-profit","Hybrid","3729"
"ACS Synthetic Biology","Molecular & Cellular Biology - Biotechnology and Bioengineering","American Physiological Society","Non-profit","Hybrid","2896"
"Acta Amazonica","Ecology & Evolution - Genetics","Instituto Nacional de Pesquisas da Amazonia","Non-profit","OA diamond","0"
"Acta Botanica Brasilica","Ecology & Evolution - Genetics; Plants - Generalist","Sociedade Botânica do Brasil (Brazilian Botanical Society - SBB)","Non-profit","OA diamond","0"
"Acta Chiropterologica","Ecology & Evolution - Zoology","Museum and Institute of Zoology / Polish Academy of Sciences","Non-profit","Subscription",""
"Acta Cytologica","Molecular & Cellular Biology - Cell Biology and Developmental Biology","Karger Publishers","For-profit associated with a society","Hybrid","3600"
"Acta Herpetologica","Ecology & Evolution - Zoology","Firenze University Press","University Press associated with a society","OA diamond","0"
"Acta Neuropathologica","Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","Hybrid","3841"
"Acta Neuropathologica Communications","Neurosciences - Clinical Neuroscience","Springer Nature (BioMed Central)","For-profit","OA","2667"
"Acta Neuropsychiatrica","Neurosciences - Clinical Neuroscience","Cambridge University Press (CUP)","University Press","Hybrid","2418"
"Acta Oncologica","Cancer - Generalist","Taylor & Francis Group","For-profit","OA","2610"
"Acta Ornithologica","Ecology & Evolution - Zoology","Museum and Institute of Zoology / Polish Academy of Sciences","Non-profit","Subscription",""
"Acta Parasitologica","Ecology & Evolution - Health; Immunology - Parasitology","Springer Nature","For-profit associated with a society","Hybrid","2090"
"Acta Pharmaceutica Sinica B","Molecular & Cellular Biology - Pharmacology and Toxicology","Elsevier","For-profit associated with a society","OA",""
"Acta Pharmacologica Sinica","Molecular & Cellular Biology - Pharmacology and Toxicology","Springer Nature","For-profit","Hybrid","3545"
"Acta Physiologica","Anatomy & Physiology - Physiology","John Wiley & Sons","For-profit associated with a society","Hybrid","5202"
"Acta Psychiatrica Scandinavica","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit","Hybrid","2340"
"Acta tropica","Immunology - Virology; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Elsevier","For-profit","Hybrid","2145"
"Acta Virologica","Immunology - Virology","Frontiers Media SA","For-profit","OA","1950"
"Adansonia","Ecology & Evolution - Genetics; Plants - Generalist","Museum National d'Histoire Naturelle","Non-profit","OA diamond","0"
"Adaptive Behavior","Neurosciences - Generalist","Sage Publishing","For-profit associated with a society","",""
"Addiction","Neurosciences - Addiction","John Wiley & Sons","For-profit associated with a society","Hybrid","2472"
"Addiction Biology","Neurosciences - Addiction","John Wiley & Sons","For-profit associated with a society","OA","3038"
"Addiction Research and Theory","Neurosciences - Addiction","Taylor & Francis Group","For-profit","Hybrid","2973"
"Addiction Science and Clinical Practice","Neurosciences - Addiction","Springer Nature (BioMed Central)","For-profit","OA","2463"
"Addictive Behaviors","Neurosciences - Addiction","Elsevier","For-profit","Hybrid","2339"
"Addictive Behaviors Reports","Neurosciences - Addiction","Elsevier","For-profit","OA","1870"
"Adipocyte","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Taylor & Francis Group","For-profit","OA","2016"
"Advanced Science","Generalist","John Wiley & Sons","For-profit","OA","4449"
"Advances and Applications in Bioinformatics and Chemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Taylor & Francis Group (Dovepress)","For-profit","OA",""
"Advances in Anatomic Pathology","Anatomy & Physiology - Anatomy","Wolters Kluwer (Lippincott)","For-profit","",""
"Advances in Anatomy, Embryology and Cell Biology","Development - Pregnancy and Embryology","Springer Nature","For-profit","",""
"Advances in Applied Microbiology","Molecular & Cellular Biology - Microbiology and Infectious Diseases","Elsevier","For-profit","",""
"Advances in Applied Probability","Generalist - Mathematical Biology","Cambridge University Press (CUP)","University Press","Hybrid","3100"
"Advances in Bioethics","Generalist - Bioethics","Emerald Publishing","For-profit","Hybrid","2200"
"Advances in Immunology","Immunology - Generalist/Classical Immunology","Elsevier","For-profit","",""
"Advances in Neuroimmunology","Neurosciences - Neuroimmunology","Elsevier","For-profit","",""
"Advances in Nutrition","Anatomy & Physiology - Nutrition","Elsevier","For-profit associated with a society","OA","4949"
"Advances in Protein Chemistry and Structural Biology","Molecular & Cellular Biology - Structural Biology and Biophysics","Elsevier","For-profit","",""
"Advances in Virus Research","Immunology - Virology","Elsevier","For-profit","",""
"African Entomology","Ecology & Evolution - Zoology","Khulisa Journals","Non-profit","OA","380"
"African Invertebrates","Ecology & Evolution - Zoology","Pensoft","For-profit","OA","431"
"African Journal of Ecology","Ecology & Evolution - Genetics","John Wiley & Sons","For-profit associated with a society","Hybrid","2446"
"African Journal of Range & Forage Science","Ecology & Evolution - Applied Ecology","Taylor & Francis Group","For-profit associated with a society","Hybrid","2631"
"African Journal of Wildlife Research","Ecology & Evolution - Applied Ecology","Southern African Wildlife Management Association","Non-profit","Subscription",""
"African Zoology","Ecology & Evolution - Zoology","Taylor & Francis Group","For-profit associated with a society","Hybrid",""
"Age and Ageing","Anatomy & Physiology - Aging; Development - Aging","Oxford University Press (OUP)","University Press","Hybrid","2956"
"Ageing International","Anatomy & Physiology - Aging; Development - Aging","Springer Nature","For-profit","Hybrid","2136"
"Ageing Research Reviews","Anatomy & Physiology - Aging; Development - Aging","Elsevier","For-profit","Hybrid","2949"
"Aging and Disease","Anatomy & Physiology - Aging; Development - Aging","International Society on Aging and Disease (ISOAD)","Non-profit","OA","2397"
"Aging and Mental Health","Anatomy & Physiology - Aging; Development - Aging; Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit","Hybrid","1690"
"Aging Brain","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Elsevier","For-profit","OA","2189"
"Aging Cell","Anatomy & Physiology - Aging; Development - Aging; Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit associated with a society","OA","2400"
"Aging Clinical and Experimental Research","Anatomy & Physiology - Aging; Development - Aging","Springer Nature","For-profit associated with a society","OA","3321"
"Agricultural and Forest Entomology","Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","Hybrid","2429"
"Agronomy for Sustainable Development","Ecology & Evolution - Applied Ecology","Springer Nature","For-profit","Hybrid","2167"
"AIDS","Immunology - Virology","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3625"
"AIDS and behavior","Immunology - Virology; Neurosciences - Clinical Neuroscience","Springer Nature","For-profit","Hybrid","3309"
"AIDS Research and Human Retroviruses","Immunology - Virology","Sage Publishing (Mary Ann Liebert)","For-profit","Hybrid","2791"
"AIDS Research and Therapy","Immunology - Virology","Springer Nature (BioMed Central)","For-profit","OA","2217"
"AIDS Reviews","Immunology - Virology","Permanyer Publications","For-profit","OA",""
"AI in Neuroscience","Neurosciences - Generalist","Sage Publishing","For-profit associated with a society","",""
"Alcohol","Neurosciences - Addiction","Elsevier","For-profit","Hybrid","2941"
"Alcohol and Alcoholism","Neurosciences - Addiction","Oxford University Press (OUP)","University Press","Hybrid","2989"
"Allergologia et Immunopathologia","Immunology - Allergy and Hypersensitivity","Codon Publications","For-profit associated with a society","Hybrid","1221"
"Allergology International","Immunology - Allergy and Hypersensitivity","Elsevier","For-profit associated with a society","OA","2080"
"Allergy","Immunology - Allergy and Hypersensitivity","John Wiley & Sons","For-profit","Hybrid","2590"
"Allergy, Asthma and Clinical Immunology","Immunology - Allergy and Hypersensitivity","Springer Nature (BioMed Central)","For-profit associated with a society","OA","1873"
"Allergy Asthma and Immunology Research","Immunology - Allergy and Hypersensitivity","Korean Academy of Asthma, Allergy and Clinical Immunology; Korean Academy of Pediatric Allergy and Respiratory Disease","Non-profit","OA","479"
"Alpine Botany","Ecology & Evolution - Genetics; Plants - Generalist","Springer Nature","For-profit associated with a society","Hybrid","4451"
"Alpine Entomology","Ecology & Evolution - Zoology","Pensoft","For-profit associated with a society","OA",""
"Alzheimer Disease and Associated Disorders","Neurosciences - Clinical Neuroscience","Wolters Kluwer (Lippincott)","For-profit","Hybrid","3122"
"Alzheimer's and Dementia","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit associated with a society","Hybrid","2674"
"Alzheimer's Reseach and Therapy","Neurosciences - Clinical Neuroscience","Springer Nature (BioMed Central)","For-profit","",""
"Ambio","Ecology & Evolution - Applied Ecology","Springer Nature","For-profit","Hybrid","3542"
"American Fern Journal","Ecology & Evolution - Genetics; Plants - Generalist","American Fern Society","Non-profit","Subscription",""
"American Heart Journal","Anatomy & Physiology - Physiology","Elsevier","For-profit","Hybrid","3156"
"American Journal of Alzheimer's Disease and Other Dementias","Neurosciences - Clinical Neuroscience","Sage Publishing","For-profit","OA","1302"
"American Journal of Audiology","Neurosciences - Sensory Neuroscience","American Speech-Language-Hearing Association (ASHA)","Non-profit","Hybrid","1812"
"American Journal of Botany","Ecology & Evolution - Genetics; Plants - Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","618"
"American Journal of Epidemiology","Immunology - Epidemiology","Oxford University Press (OUP)","University Press associated with a society","Hybrid","3912"
"American Journal of Human Genetics","Genetics & Genomics - Human Genetics","Elsevier (Cell Press)","For-profit","Hybrid","4686"
"American Journal of Infection Control","Immunology - Epidemiology","Elsevier","For-profit associated with a society","Hybrid","1517"
"American Journal of Medical Genetics Part A","Development - Genetics; Genetics & Genomics - Medical Genetics","John Wiley & Sons","For-profit","Hybrid","2508"
"American Journal of Medical Genetics Part B: Neuropsychiatric Genetics","Genetics & Genomics - Medical Genetics","John Wiley & Sons","For-profit","Hybrid","1849"
"American Journal of Medical Genetics Part C: Seminars in Medical Genetics","Genetics & Genomics - Medical Genetics","John Wiley & Sons","For-profit","Hybrid","1695"
"American Journal of Perinatology","Development - Perinatology and Birth Defects/Teratology","Thieme Medical Publishers","For-profit","OA","2976"
"American Journal of Physiology - Cell Physiology","Anatomy & Physiology - Physiology; Molecular & Cellular Biology - Cell Biology and Developmental Biology","American Physiological Society","Non-profit","Hybrid","2674"
"American Journal of Physiology - Endocrinology and Metabolism","Anatomy & Physiology - Physiology; Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Physiological Society","Non-profit","",""
"American Journal of Physiology - Gastrointestinal and Liver Physiology","Anatomy & Physiology - Physiology","American Physiological Society","Non-profit","Hybrid","3261"
"American Journal of Physiology - Heart and Circulatory Physiology","Anatomy & Physiology - Physiology","American Physiological Society","Non-profit","Hybrid","2836"
"American Journal of Physiology - Lung Cellular and Molecular Physiology","Anatomy & Physiology - Physiology; Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Physiological Society","Non-profit","Hybrid","1758"
"American Journal of Physiology - Regulatory, Integrative and Comparative Physiology","Anatomy & Physiology - Physiology","American Physiological Society","Non-profit","Hybrid","2722"
"American Journal of Physiology - Renal Physiology","Anatomy & Physiology - Physiology","American Physiological Society","Non-profit","",""
"American Journal of Primatology","Ecology & Evolution - Zoology","John Wiley & Sons","For-profit associated with a society","Subscription","2844"
"American Journal of Psychiatry","Neurosciences - Clinical Neuroscience","American Psychiatric Association","Non-profit","Hybrid","2812"
"American Journal of Reproductive Immunology","Development - Reproduction; Immunology - Reproductive Immunology","John Wiley & Sons","For-profit","Hybrid","3212"
"American Journal of Respiratory Cell and Molecular Biology","Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Thoracic Society","Non-profit","Hybrid","1854"
"American Journal of Rhinology and Allergy","Immunology - Allergy and Hypersensitivity","Sage Publishing","For-profit","",""
"American Journal of Speech and Language Pathology","Neurosciences - Cognitive Neuroscience","American Speech-Language-Hearing Association (ASHA)","Non-profit","Hybrid","2178"
"American Journal of Transplantation","Immunology - Transplant Immunology","Elsevier","For-profit associated with a society","Hybrid","3418"
"American Naturalist","Ecology & Evolution - Genetics","University of Chicago Press","University Press associated with a society","Hybrid","2667"
"Amino Acids","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Springer Nature","For-profit","OA","2572"
"Amphibia-Reptilia","Ecology & Evolution - Zoology","Brill","For-profit associated with a society","Hybrid","1977"
"Amyloid","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit associated with a society","Hybrid","3493"
"Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration","Neurosciences - Clinical Neuroscience","Taylor & Francis Group","For-profit associated with a society","Hybrid","2077"
"Anaerobe","Molecular & Cellular Biology - Microbiology and Infectious Diseases","Elsevier","For-profit associated with a society","Hybrid","2210"
"Anais da Academia Brasileira de Ciencias","Ecology & Evolution - Genetics; Generalist","The Brazilian Academy of Sciences (BAS)","Non-profit","Subscription","0"
"Analytical Biochemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Elsevier","For-profit","Hybrid","2960"
"Analytical Cellular Pathology","Molecular & Cellular Biology - Cell Biology and Developmental Biology","John Wiley & Sons","For-profit","OA","1343"
"Analytical Chemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","American Chemical Society (ACS)","Non-profit","Hybrid","3190"
"Anatomical Science International","Anatomy & Physiology - Anatomy","Springer Nature","For-profit associated with a society","Hybrid","2662"
"Anatomical Sciences Education","Anatomy & Physiology - Anatomy","John Wiley & Sons","For-profit associated with a society","Hybrid","2718"
"Andrologia","Anatomy & Physiology - Endocrinology","John Wiley & Sons","For-profit","Hybrid","2481"
"Andrology","Anatomy & Physiology - Endocrinology","John Wiley & Sons","For-profit associated with a society","Hybrid","2907"
"Angiogenesis","Cancer - Generalist","Springer Nature","For-profit","Hybrid","2382"
"Angiology","Cancer - Hematopoietic and Cardiovascular Cancer","Sage Publishing","For-profit","Hybrid","285"
"Animal","Ecology & Evolution - Zoology","Elsevier","For-profit associated with a society","OA","1205"
"Animal Behaviour","Ecology & Evolution - Genetics","Elsevier","For-profit associated with a society","Hybrid","1675"
"Animal Biodiversity and Conservation","Ecology & Evolution - Genetics","Museu de Ciencies Naturals de Barcelona","Non-profit","OA diamond","0"
"Animal Cognition","Neurosciences - Cognitive Neuroscience","Springer Nature","For-profit","OA","2946"
"Animal Conservation","Ecology & Evolution - Applied Ecology","John Wiley & Sons","For-profit associated with a society","Hybrid","2610"
"Animal Genetics","Genetics & Genomics - Genetics","John Wiley & Sons","For-profit","Hybrid","2970"
"Animal Reproduction Science","Development - Reproduction","Elsevier","For-profit","Hybrid","2372"
"Annales Botanici Fennici","Ecology & Evolution - Genetics; Plants - Generalist","BioOne","Non-profit","Hybrid",""
"Annales de Biologie Clinique","Generalist - Clinical/Medicine","John Libbey Eurotext","For-profit associated with a society","OA","400"
"Annales de la Societe Entomologique de France","Ecology & Evolution - Zoology","Taylor & Francis Group","For-profit associated with a society","Hybrid",""
"Annales d'Endocrinologie","Anatomy & Physiology - Endocrinology","Elsevier","For-profit associated with a society","Hybrid","1834"
"Annales Médico-Psychologiques","Neurosciences - Clinical Neuroscience","Elsevier","For-profit associated with a society","",""
"Annales Zoologici","Ecology & Evolution - Zoology","BioOne","Non-profit","Subscription","602"
"Annales Zoologici Fennici","Ecology & Evolution - Zoology","BioOne","Non-profit","Hybrid",""
"Annals of Allergy, Asthma and Immunology","Immunology - Allergy and Hypersensitivity","Elsevier","For-profit associated with a society","Hybrid","2665"
"Annals of Anatomy","Anatomy & Physiology - Anatomy; Ecology & Evolution - Zoology","Elsevier","For-profit associated with a society","Hybrid","2548"
"Annals of Applied Probability","Generalist - Mathematical Biology","Institute of Mathematical Statistics","Non-profit","Hybrid","921"
"Annals of Botany","Ecology & Evolution - Genetics; Plants - Generalist","Oxford University Press (OUP)","University Press","Hybrid","2106"
"Annals of Clinical and Translational Neurology","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit associated with a society","OA","1905"
"Annals of Clinical Biochemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Sage Publishing","For-profit associated with a society","",""
"Annals of Clinical Microbiology and Antimicrobials","Immunology - Immunopathology","Springer Nature (BioMed Central)","For-profit","OA","2856"
"Annals of Epidemiology","Immunology - Epidemiology","Elsevier","For-profit associated with a society","Hybrid","2643"
"Annals of Forest Science","Ecology & Evolution - Genetics","Springer Nature","For-profit","OA","1893"
"Annals of General Psychiatry","Neurosciences - Clinical Neuroscience","Springer Nature (BioMed Central)","For-profit associated with a society","OA","2008"
"Annals of Human Genetics","Genetics & Genomics - Generalist","John Wiley & Sons","For-profit","Hybrid","2007"
"Annals of Medicine","Generalist - Clinical/Medicine","Taylor & Francis Group","For-profit","OA","2799"
"Annals of Neurology","Neurosciences - Clinical Neuroscience","John Wiley & Sons","For-profit associated with a society","Hybrid","2738"
"Annals of Neurosciences","Neurosciences - Generalist","Sage Publishing","For-profit associated with a society","OA",""
"Annals of Nutrition and Metabolism","Anatomy & Physiology - Nutrition","Karger Publishers","For-profit","Hybrid","2408"
"Annals of Oncology","Cancer - Generalist","Oxford University Press (OUP)","University Press","Hybrid","3550"
"Annals of Pharmacotherapy","Molecular & Cellular Biology - Pharmacology and Toxicology","Sage Publishing","For-profit","",""
"Annals of Science","Generalist - History/Philosophy of Biology","Taylor & Francis Group","For-profit","Hybrid","1229"
"Annals of the Entomological Society of America","Ecology & Evolution - Zoology","Oxford University Press (OUP)","University Press associated with a society","Hybrid",""
"Annals of the New York Academy of Sciences","Ecology & Evolution - Genetics; Generalist","John Wiley & Sons","For-profit associated with a society","Hybrid","3054"
"Annals of Transplantation","Immunology - Transplant Immunology","International Scientific Information Inc.","For-profit","OA","1855"
"Annual Review of Animal Biosciences","Ecology & Evolution - Zoology; Generalist","Annual Reviews","Non-profit","Subscription",""
"Annual Review of Biochemistry","Molecular & Cellular Biology - Biochemistry and Molecular Biology","Annual Reviews","Non-profit","",""
"Annual Review of Cancer Biology","Cancer - Generalist","Annual Reviews","Non-profit","",""
"Annual Review of Cell and Developmental Biology","Development - Molecular and Cellular development; Molecular & Cellular Biology - Microbiology and Infectious Diseases","Annual Reviews","Non-profit","",""
"Annual Review of Clinical Psychology","Neurosciences - Clinical Neuroscience","Annual Reviews","Non-profit","",""
"Annual Review of Developmental Psychology","Development - Neuroscience; Neurosciences - Developmental Neuroscience","Annual Reviews","Non-profit","",""
"Annual Review of Ecology Evolution and Systematics","Ecology & Evolution - Genetics","Annual Reviews","Non-profit","Subscription",""
"Annual Review of Entomology","Ecology & Evolution - Zoology","Annual Reviews","Non-profit","Subscription","851"
"Annual Review of Genetics","Ecology & Evolution - Genetics; Genetics & Genomics - Generalist","Annual Reviews","Non-profit","Subscription",""
"Annual Review of Genomics and Human Genetics","Ecology & Evolution - Genetics; Genetics & Genomics - Human Genetics","Annual Reviews","Non-profit","Subscription",""
